"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "JavaScript", "TypeScript JSX", "Markdown", "YAML", "HTML", "XML", "comment", "blank", "total"
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\mobile.css", "CSS", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 8, 68
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\pricing.css", "CSS", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 4, 27, 198
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\responsive.css", "CSS", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 4, 4, 90
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\styles\version.history.css", "CSS", 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 23, 41, 417
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 0, 11
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tsconfig.app.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\tsconfig.node.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\<>\Documents\<>\Projects\Computer.Programs\BlackBlazent\Projects\BlackMusicSourceCode\Website\Bmusic-Centric-Site\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1112, 81, 7, 1620, 175, 1746, 45, 1716, 60, 2, 509, 988, 8061
